account_id,account_name,account_domain,description,industry,country,employee_band,created_date,linkedin_url,source,campaign,apis_cloud,health_tech,integration_patterns,tech_stack_confidence,is_prev_stedi_customer,icp,icp_reason,icp_confidence
294331a1-9a58-49a7-a768-633aa42eb51f,Covered,coveredhealth.ai,"Covered Health is automating the most challenging and time consuming elements of appealing denied medical claims for providers. By streamlining access to diverse databases and inputs, Covered uses technology to helps RCM specialists identify denial root causes, and generate appeals.",Hospitals and Health Care,United States,2-10,2025-02-05 14:49:16+00:00,https://www.linkedin.com/company/reversedenials,paid_search,SEM-Brand-US,AWS Lambda|Amazon RDS|AWS S3,FHIR|HL7|X12|EHR integration,API Gateway|Microservices architecture|Event-driven architecture,0.82,False,False,No clear evidence of X12 transaction send/receive usage or clearinghouse functions.,0.65
397ef7fd-c97f-4fb6-b9c1-6c845062c343,Doctors MedBill LLC,doctorsmedbill.com,"Doctors MedBill is a leading medical billing & RCM service provider in the United States. We can proficiently deal with all you’re billing needs, our medical billing and coding experts have more than 20 years of involvement with all key protection to help healthcare organizations recover Aged Receivables and resolve insurance Claim Denials, as well. We offer a comprehensive range of medical billing services, encompassing hospital billing, home health billing, emergency room billing, urgent care billing, and physician billing services. Our solutions are designed to optimize revenue generation and streamline the revenue cycle for your healthcare medical practice.",Hospitals and Health Care,United States,2-10,2025-07-10 12:42:41+00:00,https://www.linkedin.com/company/doctors-medbill-llc,outbound,OB-Prospecting,,HIPAA|X12|EDI|FHIR,,0.34,False,False,No clear evidence of targeting X12 transactions or API automation in their offerings.,0.2
bec2d5b3-b6a6-40fd-92f4-e669e7067637,Fountain Health,,"Fountain Health provides a platform to build transformative health plans designed to provide the most proactive wellness and cost-efficient plans in the industry. These plans offer innovative, higher level benefit options unseen and unmatched to its members anywhere else.",Health and Human Services,United States,11-50,2024-10-02 06:49:16+00:00,https://www.linkedin.com/company/fountain-health-benefits,paid_social,PS-Meta-SMB,,,,0.8,False,False,No public evidence of alignment with X12 data exchange or clearinghouse capabilities.,0.4
cbc2d6fc-8932-4af4-9a85-40a59c693b6c,PROACTIVE BILLING SOLUTION,proactivepbs.com,Proactive is a complete health care solution service provider company that offers hospitals and physicians practices comprehensive revenue cycle and practice management solutions.,Hospitals and Health Care,United States,11-50,2025-05-12 20:12:26+00:00,https://www.linkedin.com/company/proactive-billing-solution,content,Webinar-EDI-Modern,,HIPAA compliance,EDI transactions|X12 transaction sets,0.52,False,True,Focus on EDI transactions and HIPAA compliance aligns with target ICP use cases.,0.75
bda31055-dabb-4272-a792-c2fd4d597a24,NCDS Medical Billing,ncdsinc.com,"NCDS is more than a third-party medical billing service; we are a family-owned and privately-owned RCM company that combines experience and technology with an individualized, business approach to billing and revenue cycle needs. 

Since 1985, NCDS has been automating and improving the efficiency of onsite office processes, billing practices and accounts receivable collections for our healthcare clients. We provide professional services to a diverse range of multi-specialty medical providers and practices of varying sizes. More importantly, we work to attain the best possible results and maintain the highest degree of client satisfaction through continual self-improvement and consistent collective efforts. 

Visit our website for additional information and to schedule a free virtual consultation: https://www.ncdsinc.com/",Hospitals and Health Care,United States,11-50,2024-11-13 08:02:16+00:00,https://www.linkedin.com/company/ncdsmedicalbilling,paid_search,SEM-NonBrand,AWS|Microsoft Azure,HIPAA|X12|EDI|FHIR|HL7,Data Integration|System Interoperability,0.79,False,True,Handles healthcare billing with a focus on EDI and X12 transactions.,0.85
c1c17883-5ba2-4226-b28f-078cd66dbf0c,CareATC,careatc.com,"Our mission at CareATC is to help employers take control of rising health care costs by improving the health of their workforce. Since 2000, we provide customizable healthcare solutions to employers that have succeeded in bringing patients and providers closer together. Our vision is to create the most sustainable solution to rising healthcare costs for employers of every size by promoting health, preventing disease, and providing a shorter path to care.",Hospitals and Health Care,United States,201-500,2024-10-05 06:44:00+00:00,https://www.linkedin.com/company/careatc,content,Webinar-EDI-Modern,AWS|Azure Cloud Services,FHIR|HL7|HIPAA X12|X12 270/271|X12 835,API integration with EHR systems|Data streaming for real-time patient data|Cloud-based health record management,0.61,False,True,"CareATC utilizes HIPAA X12, indicating a potential fit for API automation in healthcare.",0.75
b6d295b5-4ea9-46a6-9447-89217536992d,Cirius Group Inc.,ciriusgroup.com,"Through 36 years of continuous innovation, the Cirius Group has created powerful technology that healthcare providers trust to consistently produce the financial results they need and can rely on.

Our flexible, scalable, and customized solutions, are always improving to reduce manual work and achieve consistent, predictable cash collections so providers reach and surpass their goals.",Hospitals and Health Care,United States,11-50,2025-03-11 15:19:13+00:00,https://www.linkedin.com/company/cirius-group-inc.,paid_social,PS-LinkedIn-MM,AWS Lambda|AWS S3|Google Cloud Platform,HIPAA compliance|HL7 FHIR standards|X12 EDI transactions,REST APIs|GraphQL APIs|Event-driven architecture,0.9,False,True,"Cirius Group utilizes X12 transactions and offers EDI solutions, indicating alignment with ICP.",0.8
81c0b0dd-7cf7-4b7c-9611-6d179763b5b0,Enter,enter.health,"Enter is the fastest, most accurate and most transparent RCM in the healthcare industry. Enter increases Payer reimbursements by 10%, delights patients, reduces HIPAA risk and provides industry-leading transparency. Our clients say “it’s like magic”. 
 
Billing and RCM is the worst part of any Provider’s job. Enter’s mission is to make Providers' lives better with best in class operations, automation, transparency and compliance.
 
At the same cost of existing Billers, Enter’s Claim A.I. increases reimbursements by 15% - 40% and improves speed by up to 50%. Enter’s Patient A.I. improves patient collections by 10% and Enter’s cloud based dashboards give you complete, real time transparency into your billing operation.
Instead of paying 20% - 50% to a collection agency, Enter recovers funds faster and cheaper, saving the business time without additional headcount or lost customer relationships. Simple, transparent pricing with no upfront cost. 

Today, over $150B annually go to collections and over 77M Americans have a bill in collections. Enter's mission is to keep consumers out of collections by helping businesses intelligently capture more of their revenue.",Financial Services,United States,11-50,2025-08-22 03:02:13+00:00,https://www.linkedin.com/company/enter-inc.,referral,Customer-Referral,AWS Lambda|Amazon EC2|AWS S3|Google Cloud Storage,FHIR|HL7|X12|HIPAA,API integration with EHRs|Messaging through FHIR|Secure data exchange via X12 EDI,0.88,False,True,Company focuses on API integration for healthcare data exchange using X12 and HIPAA standards.,0.85
c2a47a5d-33cc-4293-8ce4-6b852e1d4003,Healthrise,healthrise.com,"Hospital systems are not all created equal.  So one-size-fits-all solutions don’t work.

At Healthrise, we customize solutions to meet your needs.  That way, you’re not paying for resources and programs that you don’t need like you would at other RCM consulting and global consulting firms.

We stand behind bringing together the right expertise, strategy, approach, resources, and technology to deliver proven results for you.",Financial Services,United States,51-200,2025-05-26 19:31:58+00:00,https://www.linkedin.com/company/healthrisesolutions,paid_search,SEM-Brand-US,AWS|Azure,FHIR|X12|HL7,EDI|HL7 integration|FHIR API integrations,0.76,False,True,"Healthrise uses X12 for EDI transactions, fitting the API-first healthcare focus.",0.85
5f4f5702-9f60-42ed-8fbd-9e44b458c63d,Harmony Healthcare International,harmony-healthcare.com,"Harmony Healthcare International is a healthcare consulting firm focused on assisting the healthcare industry (acute care, skilled nursing, home care and other continuums) with our C.A.R.E. platform of products and services designed to create operational, financial and clinical excellence with the goal of improving patient care.",Hospitals and Health Care,United States,11-50,2025-06-05 01:18:59+00:00,https://www.linkedin.com/company/harmony-healthcare,events,Conf-RevenueSummit,AWS|Twilio,HIPAA|X12|EDI|FHIR|HL7|EHRs,API integration|Cloud integration,0.78,False,False,No clear evidence of sending/receiving X12 transactions found.,0.3
